trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.81}",30,0,-132.04225570436077,"{0: 14, 1: 4, 2: 12, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-105.28834224002755,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.6561000000000001}",25,2,-59.30218478252489,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.5904900000000002}",30,0,-145.82301954575715,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.5314410000000002}",25,0,-45.15834767190242,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,0,-42.6843674959047,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.43046721000000016}",20,0,-32.0526614086458,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.38742048900000015}",20,0,0.5350186430386312,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.34867844010000015}",25,0,-105.86821277629788,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.31381059609000017}",30,13,-36.95788911094916,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.28242953648100017}",20,0,-83.5267567475441,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.25418658283290013}",20,12,-4.818562584106822,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.22876792454961012}",20,3,20.55170702154637,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.2058911320946491}",20,6,15.342148385727704,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,8,0.48398353120159454,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.16677181699666577}",25,11,-73.88827460497873,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1500946352969992}",20,13,10.457213016398567,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.13508517176729928}",30,13,12.14213444155204,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.12157665459056936}",25,15,4.4497927103945845,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.10941898913151243}",25,19,0.497980732301571,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0984770902183612}",25,17,14.40689351316664,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.08862938119652508}",25,5,-11.234941473153992,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.07976644307687257}",20,9,10.40868600596766,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.07178979876918531}",25,14,22.02684627489132,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.06461081889226679}",25,11,21.49127292028836,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.05814973700304011}",20,0,27.474269981121573,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0523347633027361}",20,3,32.22781138762116,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.04710128697246249}",20,6,11.276796642098644,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.042391158275216244}",25,13,23.47140356418459,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.03815204244769462}",30,14,21.276799754968,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.03433683820292516}",25,7,24.85852464643794,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.030903154382632643}",30,7,41.36505704801329,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.02781283894436938}",20,16,9.454728382179649,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,12,31.356785098913427,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,20,20.754368981788062,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,21.696953217873205,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,15.898126837199547,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,16,8.484132280854764,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,25.810002298957073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,21,19.80608074847761,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,29.500127011717304,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,16,16.954901124511686,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,13,29.857313386236566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,8,22.087186647042905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,3,25.313753409444516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,11,20.888737061601695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,8,18.673146693206668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,9,25.23232804491369,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,8,20.391363873044718,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,10,17.83488918445858,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,14,24.091979930849025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,10,18.552465999684674,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,8,28.133660392135013,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
